player_name,year,team,base_salary,prorated_bonus,,guaranteed_salary,capnumber,cap_percent,cash_paid
Michael Dickson,2024,Seahawks,2550000,1300000,,0,3850000,1.5%,2550000
Rigoberto Sanchez,2024,Colts,1250000,0,,2500000,2500000,1.0%,2500000
Cameron Johnston,2024,Steelers,1125000,958333,,0,2083333,0.8%,4000000
Bradley Pinion,2024,Falcons,2245000,500000,,1080000,3000000,1.2%,2500000
Bryan Anger,2024,Cowboys,3000000,800000,,0,3800000,1.5%,3000000
Johnny Hekker,2024,Panthers,1750000,983668,,0,2733668,1.1%,1750000
Braden Mann,2024,Eagles,1125000,200000,,1125000,1325000,0.5%,2125000
Corliss Waitman,2024,Steelers,985000,,,,930278,0.4%,930278
Ryan Stonehouse,2024,Titans,985000,3334,,,988334,0.4%,985000
Jude McAtamney,2024,Giants,225000,,,,31667,0.0%,31667
Darius Slay,2024,Eagles,1210000,7413483,,1210000,10651483,4.1%,11500000
Thomas Morstead,2024,Jets,1210000,500000,,1210000,2050000,0.8%,2550000
Michael Dowell,2024,Seahawks,225000,,,,12500,0.0%,12500
Patrick Murtagh,2024,Jaguars,795000,,,225000,470000,0.2%,470000
Tress Way,2024,Commanders,3000000,600000,,0,3750000,1.4%,3150000
Bobby Wagner,2024,Commanders,4060000,2000000,,4060000,6500000,2.5%,8000000
Sam Martin,2024,Bills,1550000,400000,,1550000,2050000,0.8%,1850000
Elijah Jones,2024,Cardinals,795000,238730,,,708730,0.3%,1424920
De'Vondre Campbell,2024,49ers,1210000,670000,,1210000,2058333,0.7%,4738333
Bryce Baringer,2024,Patriots,915000,44614,,,959614,0.4%,915000
Jordan Stout,2024,Ravens,985000,174458,,,1159458,0.5%,985000
Ryan Wright,2024,Vikings,985000,1668,,0,986668,0.4%,985000
Eric Wilson,2024,Packers,1210000,167500,,0,1152500,0.4%,1377500
Michael Palardy,2024,Cardinals,1210000,0,,0,164167,0.1%,201667
Shaun Wade,2024,Chargers,302400,,,,184800,0.1%,184800
Calais Campbell,2024,Dolphins,1210000,790000,,0,3125000,1.2%,3025000
Nnamdi Madubuike,2024,Ravens,1125000,5975000,,1125000,7100000,2.8%,31000000
