player_name,year,team,base_salary,prorated_bonus,,guaranteed_salary,capnumber,cap_percent,cash_paid
Dak Prescott,2024,Cowboys,1250000,41824313,,2791667,44615980,17.2%,86250000
T.J. Watt,2024,Steelers,21050000,9368694,,0,30418694,11.8%,21050000
Tristan Wirfs,2024,Buccaneers,1244000,5362582,,1244000,6606582,2.6%,26244000
Brian Burns,2024,Giants,8000000,7000000,,8000000,15500000,6.0%,43500000
Jaylen Waddle,2024,Dolphins,1055000,8039435,,1055000,9094435,3.5%,19928546
Joe Cardona,2024,Patriots,1210000,250000,,435000,1553000,0.6%,1274000
DaShaun White,2024,49ers,795000,,,,44167,0.0%,44167
Miles Battle,2024,Patriots,795000,,,,44167,0.0%,44167
John Rhys Plumlee,2024,Seahawks,795000,,,,44167,0.0%,44167
Truman Jones,2024,Patriots,795000,,,,44167,0.0%,44167
Chris Edmonds,2024,Browns,795000,,,,44167,0.0%,44167
Kaden Davis,2024,Browns,795000,,,,44167,0.0%,44167
Dylan Drummond,2024,Falcons,225000,,,,256667,0.1%,256667
Erick Hallett,2024,Lions,2147483647,,,,50000,0.0%,50000
Tejhaun Palmer,2024,Cardinals,225000,,,,225000,0.1%,225000
Solomon Byrd,2024,Texans,225000,,,,256667,0.1%,256667
DaRon Gilbert,2024,Lions,225000,,,,25000,0.0%,25000
Kingsley Eguakun,2024,Lions,225000,,,,225000,0.1%,225000
Kedon Slovis,2024,Texans,225000,,,,225000,0.1%,225000
Emory Jones,2024,Falcons,225000,,,,25000,0.0%,25000
Johnny Johnson III,2024,Texans,225000,,,,225000,0.1%,225000
Jonathan Sutherland,2024,Giants,915000,,,,495000,0.2%,495000
Jesse Matthews,2024,Falcons,225000,0,,0,225000,0.1%,225000
Xavier Johnson,2024,Texans,225000,,,,225000,0.1%,225000
Jeshaun Jones,2024,Vikings,225000,,,,212500,0.1%,212500
Isaac Ukwu,2024,Lions,225000,,,,288334,0.1%,288334
Theo Benedet,2024,Bears,225000,,,,225000,0.1%,225000
Max Tooley,2024,Vikings,225000,,,,200000,0.1%,200000
Thayer Thomas,2024,Vikings,225000,,,,225000,0.1%,225000
Reddy Steward,2024,Bears,225000,,,,256667,0.1%,256667
Zavier Scott,2024,Vikings,225000,,,,225000,0.1%,225000
Gabriel Murphy,2024,Vikings,225000,,,,106667,0.0%,106667
Marcellus Johnson,2024,Vikings,225000,,,,0,0.0%,0
John Jackson,2024,Bears,225000,,,,200000,0.1%,200000
Austin Reed,2024,Bears,225000,,,,225000,0.1%,225000
Carl Jones Jr.,2024,Bears,225000,,,,256667,0.1%,256667
Emani Bailey,2024,Panthers,225000,,,,62500,0.0%,62500
Jaden Davis,2024,Cardinals,225000,,,,225000,0.1%,225000
Isaiah Iton,2024,Titans,225000,,,,225000,0.1%,225000
Josh Cephus,2024,Jaguars,225000,,,,256667,0.1%,256667
Brycen Tremayne,2024,Commanders,225000,,,,288334,0.1%,288334
Michael Wiley,2024,Commanders,225000,,,,225000,0.1%,225000
Ben Nikkel,2024,Commanders,225000,,,,137500,0.1%,137500
Kazmeir Allen,2024,Commanders,225000,,,,225000,0.1%,225000
Chris Oladokun,2024,Chiefs,225000,,,,137500,0.1%,137500
Dyontae Johnson,2024,Giants,795000,,,,506111,0.2%,506111
Fabien Lovett,2024,Chiefs,225000,,,,225000,0.1%,225000
Chukwuebuka Godrick,2024,Chiefs,225000,,,,0,0.0%,0
Kilian Zierer,2024,Texans,225000,0,,0,0,0.0%,0
Morice Norris,2024,Lions,795000,,,,44167,0.0%,44167
Austin Ajiake,2024,Colts,225000,,,,137500,0.1%,137500
Dayton Wade,2024,Ravens,225000,,,,225000,0.1%,225000
C.J. Ravenell,2024,Ravens,225000,,,,225000,0.1%,225000
Devin Leary,2024,Ravens,225000,,,,225000,0.1%,225000
Darrian Dalcourt,2024,Ravens,225000,,,,225000,0.1%,225000
Zaire Mitchell-Paden,2024,Ravens,225000,,,,150000,0.1%,150000
Jason Bean,2024,Colts,225000,,,,225000,0.1%,225000
Alex Johnson,2024,Colts,225000,,,,175000,0.1%,175000
Corey Bullock,2024,Ravens,225000,,,,225000,0.1%,225000
Durell Nchami,2024,Colts,225000,,,,75000,0.0%,75000
C.J. Okoye,2024,Chargers,225000,,,,0,0.0%,0
Julius Welschof,2024,Steelers,225000,,,,75000,0.0%,75000
Shawn Bowman,2024,Jaguars,225000,,,,225000,0.1%,225000
Adedayo Odeleye,2024,Ravens,225000,,,,0,0.0%,0
Jacob Slade,2024,Steelers,225000,,,,225000,0.1%,225000
Henry Byrd,2024,Vikings,225000,,,,225000,0.1%,225000
Jordan Miller,2024,Broncos,225000,,,,225000,0.1%,225000
Louis Rees-Zammit,2024,Jaguars,225000,,,,225000,0.1%,225000
Gottlieb Ayedze,2024,Raiders,225000,,,,187500,0.1%,187500
Doug Nester,2024,Steelers,225000,,,,225000,0.1%,225000
Qadir Ismail,2024,Ravens,225000,,,,225000,0.1%,225000
Ovie Oghoufo,2024,Raiders,225000,,,,37500,0.0%,37500
Will Putnam,2024,Raiders,225000,,,,256667,0.1%,256667
Dalton Wagner,2024,Raiders,225000,0,,0,225000,0.1%,225000
D.J. James,2024,Patriots,225000,,,,200000,0.1%,200000
Sincere Haynesworth,2024,Saints,225000,,,,62500,0.0%,62500
Jamie Sheriff,2024,Seahawks,225000,,,,112500,0.0%,112500
Isaac Alarcon,2024,49ers,225000,,,,0,0.0%,0
John Jiles,2024,Patriots,225000,,,,162500,0.1%,162500
Craig Young,2024,Bengals,225000,,,,25000,0.0%,25000
Tashawn Manning,2024,Bengals,225000,,,,225000,0.1%,225000
Quinton Newsome,2024,Broncos,225000,,,,150000,0.1%,150000
Jaylen Key,2024,Bengals,225000,,,,37500,0.0%,37500
Andrew Coker,2024,Bengals,225000,,,,169167,0.1%,169167
Cole Burgess,2024,Bengals,225000,,,,225000,0.1%,225000
Jordan Murray,2024,Giants,225000,,,,87500,0.0%,87500
Bryan Hudson,2024,Giants,225000,,,,112500,0.0%,112500
T.J. Luther,2024,Panthers,225000,,,,62500,0.0%,62500
Anthony Goodlow,2024,Cardinals,225000,,,,125000,0.0%,125000
Jude McAtamney,2024,Giants,225000,,,,31667,0.0%,31667
Mason Pline,2024,49ers,225000,,,,225000,0.1%,225000
Terique Owens,2024,49ers,225000,,,,175000,0.1%,175000
Drake Nugent,2024,49ers,225000,,,,256667,0.1%,256667
Michael Barrett,2024,Packers,225000,,,,62500,0.0%,62500
Tanner Mordecai,2024,49ers,225000,,,,225000,0.1%,225000
Zack Johnson,2024,49ers,225000,,,,12500,0.0%,12500
P.J. Jules,2024,Bengals,225000,,,,225000,0.1%,225000
William Sherman,2024,Broncos,225000,,,,0,0.0%,0
M.J. Devonshire,2024,Raiders,225000,,,,225000,0.1%,225000
Deslin Alexandre,2024,Packers,225000,,,,225000,0.1%,225000
Steven Jones,2024,Jaguars,225000,,,,225000,0.1%,225000
Joel Wilson,2024,Bears,225000,,,,137500,0.1%,137500
Domenique Davis,2024,Bengals,225000,,,,25000,0.0%,25000
Roy Mbaeteka,2024,Browns,225000,,,,0,0.0%,0
Matt Cindric,2024,Jets,225000,,,,112500,0.0%,112500
Reese Taylor,2024,Broncos,225000,,,,256667,0.1%,256667
Tre'Mon Morris-Brash,2024,Chargers,225000,,,,225000,0.1%,225000
Jaylen Johnson,2024,Chargers,225000,,,,256667,0.1%,256667
Julian Pearl,2024,Browns,225000,,,,50000,0.0%,50000
Lorenzo Thompson,2024,Browns,225000,,,,225000,0.1%,225000
James Ester,2024,Packers,225000,,,,225000,0.1%,225000
Kamal Hadden,2024,Packers,225000,,,,288334,0.1%,288334
Alex Hale,2024,Packers,225000,,,,0,0.0%,0
Donovan Jennings,2024,Packers,225000,,,,225000,0.1%,225000
Mark Perry,2024,Patriots,225000,,,,200000,0.1%,200000
Julian Hicks,2024,Packers,225000,,,,225000,0.1%,225000
Jeremiah Martin,2024,Packers,225000,,,,50000,0.0%,50000
Karsen Barnhart,2024,Chargers,225000,,,,225000,0.1%,225000
Cornelius Johnson,2024,Packers,225000,,,,200000,0.1%,200000
McCallan Castles,2024,Chargers,225000,,,,75000,0.0%,75000
Kalen King,2024,Packers,225000,,,,256667,0.1%,256667
Jawhar Jordan,2024,Texans,225000,0,,,137500,0.1%,137500
Dante Miller,2024,Giants,795000,,,,44167,0.0%,44167
Jack Westover,2024,Patriots,795000,,,,44167,0.0%,44167
Jack Plummer,2024,Panthers,795000,,,,88333,0.0%,88333
Kendall Milton,2024,Bengals,795000,,,,44167,0.0%,44167
Braeden Daniels,2024,Dolphins,795000,0,,,44167,0.0%,44167
Isaiah Stalbird,2024,Saints,795000,,,,88333,0.0%,88333
Kyle Hergel,2024,Saints,795000,,,,88333,0.0%,88333
George Holani,2024,Seahawks,795000,,,,88333,0.0%,88333
Jalen Coker,2024,Panthers,795000,,,,662500,0.3%,662500
Jaylon Thomas,2024,Texans,795000,,,,470000,0.2%,470000
Andrew Stueber,2024,Bengals,795000,0,,,220833,0.1%,220833
Isaiah Bolden,2024,Patriots,795000,0,,,662500,0.2%,662500
Sincere McCormick,2024,Raiders,795000,,,,166666,0.1%,166666
Jowon Briggs,2024,Browns,795000,,,,220833,0.1%,220833
Bryce Oliver,2024,Titans,795000,,,,441667,0.2%,441667
Rejzohn Wright,2024,Saints,795000,,,,470000,0.2%,470000
Demani Richardson,2024,Panthers,795000,,,,662500,0.3%,662500
Shaka Heyward,2024,Bengals,795000,,,,220833,0.1%,220833
Devin Cochran,2024,Bengals,795000,,,,265000,0.1%,265000
Princeton Fant,2024,Cowboys,795000,,,,265000,0.1%,265000
Josh Butler,2024,Cowboys,795000,,,,218889,0.1%,218889
Anfernee Orji,2024,Saints,795000,,,,795000,0.3%,795000
Justin Shorter,2024,Raiders,795000,0,,,441667,0.2%,441667
Ali Gaye,2024,Titans,795000,,,,795000,0.3%,795000
Tyrese Robinson,2024,Patriots,795000,,,,397500,0.1%,397500
Chigozie Anusiem,2024,Browns,795000,,,,353333,0.1%,353333
Natrone Brooks,2024,Falcons,795000,,,,353333,0.1%,353333
Justin Dedich,2024,Rams,795000,,,,706667,0.3%,706667
Nikko Remigio,2024,Chiefs,795000,0,,0,220833,0.1%,220833
Tyler Badie,2024,Broncos,795000,,,,409722,0.2%,409722
E.J. Jenkins,2024,Eagles,795000,,,,220833,0.1%,220833
Terrell Jennings,2024,Patriots,795000,,,,132500,0.0%,132500
Chris Blair,2024,Falcons,795000,,,,132500,0.1%,132500
Silas Dzansi,2024,Buccaneers,795000,,,,470000,0.2%,470000
Chris Collier,2024,Raiders,795000,,,,132500,0.1%,132500
Brenden Bates,2024,Browns,795000,,,,132500,0.0%,132500
Kevin Austin Jr.,2024,Saints,795000,,,,220833,0.1%,220833
Jose Ramirez,2024,Buccaneers,795000,,,,795000,0.3%,795000
Jacoby Windmon,2024,Panthers,795000,,,,132500,0.1%,132500
Jaylin Simpson,2024,Jets,795000,,,,176667,0.1%,176667
Art Green,2024,Giants,795000,,,,397500,0.2%,397500
Kendell Brooks,2024,Titans,795000,,,,220833,0.1%,220833
Evan Deckers,2024,Buccaneers,795000,,,,686667,0.3%,686667
Carlos Washington Jr.,2024,Falcons,795000,,,,176667,0.1%,176667
Xavier Smith,2024,Rams,795000,,,,530000,0.2%,530000
Bo Richter,2024,Vikings,795000,,,,485833,0.2%,485833
Rex Sunahara,2024,Browns,795000,,,,574167,0.2%,574167
Ryan Miller,2024,Buccaneers,795000,,,,485833,0.2%,485833
Jared Wayne,2024,Texans,795000,0,,,0,0.0%,5000
Brandon Aubrey,2024,Cowboys,915000,,,,915000,0.4%,915000
Carter Bradley,2024,Raiders,795000,,,,176667,0.1%,176667
A.J. Finley,2024,Seahawks,915000,,,,305000,0.1%,305000
Blake Grupe,2024,Saints,915000,833,,,915833,0.4%,915000
Malik Hamm,2024,Ravens,795000,666,,,470666,0.2%,470000
John Stephens,2024,Cowboys,795000,1000,,,597389,0.2%,596389
Markees Watts,2024,Buccaneers,915000,333,,,612000,0.2%,611667
Isaiah Land,2024,Colts,915000,,,0,915000,0.4%,915000
Claudin Cherelus,2024,Panthers,915000,,,0,845000,0.3%,845000
Brenton Cox Jr.,2024,Packers,915000,3000,,,918000,0.3%,915000
Sean Tucker,2024,Buccaneers,915000,1666,,0,916666,0.4%,915000
Malik Heath,2024,Packers,915000,3000,,,918000,0.3%,915000
Alex Ward,2024,Rams,915000,1666,,,916666,0.4%,915000
Chris Stoll,2024,Seahawks,915000,2166,,,917166,0.4%,915000
Jake Bobo,2024,Seahawks,915000,3333,,,918333,0.4%,915000
Ben Sims,2024,Packers,915000,,,0,915000,0.3%,915000
Nate Adkins,2024,Broncos,915000,3333,,0,918333,0.4%,915000
Drake Thomas,2024,Seahawks,915000,,,0,915000,0.4%,915000
Christian Izien,2024,Buccaneers,915000,3333,,0,871666,0.3%,868333
T.J. Bass,2024,Cowboys,915000,3333,,0,918333,0.4%,915000
Jaleel McLaughlin,2024,Broncos,915000,5000,,0,920000,0.4%,915000
Eli Ricks,2024,Eagles,915000,3333,,0,918333,0.4%,915000
Emari Demercado,2024,Cardinals,915000,5000,,0,826667,0.3%,821667
Xavier Gipson,2024,Jets,915000,5000,,0,920000,0.4%,915000
Julian Hill,2024,Dolphins,915000,4166,,0,919166,0.4%,915000
Starling Thomas V,2024,Cardinals,915000,,,,915000,0.3%,915000
Keaton Mitchell,2024,Ravens,915000,6000,,0,711000,0.3%,705000
Ronnie Hickman,2024,Browns,915000,6666,,0,921666,0.3%,915000
Bryce Ford-Wheaton,2024,Giants,795000,6666,,0,801666,0.3%,795000
Cam Jones,2024,Chiefs,915000,5000,,0,920000,0.4%,915000
Hunter Luepke,2024,Cowboys,915000,6666,,0,921666,0.4%,915000
Tyson Bagent,2024,Bears,915000,8333,,,923333,0.4%,915000
Ivan Pace Jr.,2024,Vikings,915000,6666,,0,828333,0.3%,821667
Mohamoud Diabate,2024,Browns,915000,8333,,0,829999,0.3%,821666
Alex Palczewski,2024,Broncos,795000,6666,,0,801666,0.3%,795000
Treyton Welch,2024,Saints,225000,,,,225000,0.1%,225000
Rakim Jarrett,2024,Buccaneers,915000,8333,,0,760000,0.3%,751667
Gabe Hall,2024,Eagles,225000,,,,225000,0.1%,225000
Josiah Ezirim,2024,Saints,225000,,,,225000,0.1%,225000
Zack Kuntz,2024,Jets,225000,,,,256667,0.1%,256667
Dallas Gant,2024,Eagles,225000,,,,144167,0.1%,144167
Jason Maitre,2024,Dolphins,225000,,,,62500,0.0%,62500
Obinna Eze,2024,Jets,225000,,,,0,0.0%,0
Adrian Martinez,2024,Jets,225000,,,,256667,0.1%,256667
Tre Swilling,2024,Jets,225000,,,,225000,0.1%,225000
Kohl Levao,2024,Jets,225000,,,,225000,0.1%,225000
Jalen Moreno-Cropper,2024,Cowboys,225000,,,,256667,0.1%,256667
Andre' Sam,2024,Eagles,225000,,,,256667,0.1%,256667
Xazavian Valladay,2024,Saints,225000,,,,112500,0.0%,112500
Laekin Vakalahi,2024,Eagles,225000,,,,0,0.0%,0
Tarik Black,2024,Dolphins,225000,,,,137500,0.1%,137500
Michael Jacobson,2024,Saints,225000,,,,225000,0.1%,225000
A.J. Woods,2024,Eagles,225000,,,,212500,0.1%,212500
Charlie Smyth,2024,Saints,225000,,,,0,0.0%,0
Jordan Colbert,2024,Dolphins,225000,,,,225000,0.1%,225000
Dequan Jackson,2024,Dolphins,225000,,,,225000,0.1%,225000
Bayron Matos,2024,Dolphins,225000,,,,0,0.0%,0
Derrick Mclendon II,2024,Dolphins,225000,,,,225000,0.1%,225000
Jackson Sirmon,2024,Jets,225000,,,,212500,0.1%,212500
Denzel Daxon,2024,Cowboys,225000,,,,0,0.0%,0
Drake Stoops,2024,Rams,225000,,,,225000,0.1%,225000
Isaiah Johnson,2024,Dolphins,225000,,,,225000,0.1%,225000
Cameron Latu,2024,Browns,225000,0,,,12500,0.0%,12500
Marcus Banks,2024,Buccaneers,225000,,,,225000,0.1%,225000
Tanner Ingle,2024,Rams,225000,,,,225000,0.1%,225000
Luke Haggard,2024,Buccaneers,225000,,,,225000,0.1%,225000
Dennis Houston,2024,Buccaneers,225000,,,,137500,0.1%,137500
D.J. Williams,2024,Buccaneers,225000,,,,256667,0.1%,256667
Lorenz Metz,2024,Buccaneers,225000,,,,0,0.0%,0
Rashad Wisdom,2024,Buccaneers,225000,,,,225000,0.1%,225000
Tanner Taula,2024,Buccaneers,225000,,,,225000,0.1%,225000
Garret Greenfield,2024,Buccaneers,225000,,,,12500,0.0%,12500
Brandon Smith,2024,Jets,225000,,,,256667,0.1%,256667
Te'Cory Couch,2024,Bills,225000,0,,,225000,0.1%,225000
Frank Gore Jr.,2024,Bills,225000,0,,,256667,0.1%,256667
Daequan Hardy,2024,Bills,225000,0,,,225000,0.1%,225000
Mike Edwards,2024,Bills,225000,0,,,225000,0.1%,225000
Richard Gouraige,2024,Bills,225000,0,,,256667,0.1%,256667
Jaylen Watson,2024,Chiefs,985000,21342,,,1006342,0.4%,985000
Sean Clifford,2024,Packers,915000,0,,,0,0.0%,0
Isiah Pacheco,2024,Chiefs,985000,19777,,,1004777,0.4%,985000
Rasheed Walker,2024,Packers,985000,20219,,,1005219,0.4%,985000
Elijah Hicks,2024,Bears,985000,19253,,,1004253,0.4%,985000
Josh Ball,2024,Saints,915000,0,,,50833,0.0%,50833
Thayer Munford,2024,Raiders,985000,24265,,,1009265,0.4%,985000
Deane Leonard,2024,Chargers,985000,24916,,,1009916,0.4%,985000
Dareke Young,2024,Seahawks,985000,25275,,,1010275,0.4%,985000
Baylon Spector,2024,Bills,985000,25932,,,1010932,0.4%,985000
Chris Paul,2024,Commanders,985000,26112,,,1011112,0.4%,985000
Mark Robinson,2024,Steelers,985000,28089,,,1013089,0.4%,985000
Brandon Codrington,2024,Bills,795000,,,,795000,0.3%,795000
Jalen Sundell,2024,Seahawks,795000,,,,795000,0.3%,795000
Blake Watson,2024,Broncos,795000,,,,88333,0.0%,88333
Carson Steele,2024,Chiefs,795000,,,15000,795000,0.3%,795000
Justin Rogers,2024,Cowboys,795000,,,,132500,0.1%,132500
Levelle Bailey,2024,Broncos,795000,,,,574167,0.2%,574167
Montaric Brown,2024,Jaguars,985000,28995,,,1013995,0.4%,985000
Hogan Hatten,2024,Lions,795000,333,,,795333,0.3%,796000
Joe Andreessen,2024,Bills,795000,833,,,795833,0.3%,797500
Christian Roland-Wallace,2024,Chiefs,795000,1666,,150000,796666,0.3%,800000
Jarius Monroe,2024,Jets,795000,,,,88333,0.0%,88333
Elijah Chatman,2024,Giants,795000,333,,,795333,0.3%,796000
Lance Robinson,2024,Bengals,795000,2333,,,472333,0.2%,477000
Norell Pollard,2024,Commanders,795000,1666,,20000,471666,0.2%,475000
Ian Wheeler,2024,Bears,795000,2500,,,472500,0.2%,477500
David Martin-Robinson,2024,Titans,795000,2500,,10000,797500,0.3%,802500
Taki Taimani,2024,Vikings,795000,1666,,95000,616110,0.2%,619444
Dell Pettus,2024,Patriots,795000,3000,,,798000,0.3%,804000
Grayson Murphy,2024,Dolphins,795000,3333,,60000,473333,0.2%,480000
Dallin Holker,2024,Saints,795000,3333,,225000,798333,0.3%,805000
Omar Speights,2024,Rams,795000,3000,,,798000,0.3%,804000
Dwight McGlothern,2024,Vikings,795000,3333,,20000,798333,0.3%,805000
Kameron Johnson,2024,Buccaneers,795000,3333,,,617777,0.2%,624444
Matthew Hayball,2024,Saints,795000,3333,,25000,798333,0.3%,805000
Colson Yankoff,2024,Commanders,795000,3333,,40000,635833,0.2%,642500
Thomas Harper,2024,Raiders,795000,,,20000,795000,0.3%,795000
Leonard Taylor,2024,Jets,795000,3333,,100000,798333,0.3%,805000
Quentin Lake,2024,Rams,985000,33003,,,1018003,0.4%,985000
Tyler Mclellan,2024,Chargers,795000,3333,,,473333,0.2%,480000
Shemar Bartholomew,2024,Panthers,795000,,,95000,795000,0.3%,795000
Cody Schrader,2024,Rams,795000,,,220000,795000,0.3%,795000
Mason Tipton,2024,Saints,795000,3333,,100000,798333,0.3%,805000
